Date,Startup,Industry Vertical,SubVertical,City,Investors Name,InvestmentnType,CR,Year,Month
2015-11-08,WOW! MOMO,Quick Service Restaurant Chain,,Kolkata,indian angel network,Seed Funding,13.2,2015.0,November
2015-11-08,RainCan,Subscription based Online Grocery platform,,Pune,ajeet khurana & others,Seed Funding,0.825,2015.0,November
2015-11-08,Allygrow Technologies,engineering services company,,Mumbai,zodius technology fund,Private Equity,165.0,2015.0,November
2015-11-08,Infogain,Business and IT consulting,,New Delhi / US,chryscapital,Private Equity,519.75,2015.0,November
2015-12-08,OneAssist,Credit Card Fraud protection solutions,,Mumbai,"sequoia capital, lightspeed ventures",Private Equity,61.875,2015.0,December
2015-12-08,BigBasket,Online & mobile Grocery store,,Bangalore,bessemer venture partners,Private Equity,412.5,2015.0,December
2015-12-08,Sheroes,Career Community for Women,,Noida,"quintillion media, 500 startups",Seed Funding,6.3525,2015.0,December
2015-12-08,Scripbox,Mutual Fund Investing platform,,Bangalore,"accel partners, deep kalra, rajesh magow, mohit gupta, shamik sharma",Private Equity,20.625,2015.0,December
2015-08-13,etaout,Ecommerce Marketing Software Platform,,Noida,"amit ranjan, vijay shekhar sharma, kunal bahl, girish mathrubootham &\\xc2\\xa0 group of other angel investors",Seed Funding,4.125,2015.0,August
2015-08-13,IFMR Holdings,Financial Inclusion platform,,Chennai,"accion, leapfrog investments, lok capital",Private Equity,206.25,2015.0,August
2015-08-13,Massblurb,Digital Marketing automation solution,,Mumbai,"letsventure, mumbai angels",Seed Funding,0.0,2015.0,August
2015-08-13,Agrostar,Mobile Commerce for Farmers,,Pune,idg ventures,Private Equity,33.0,2015.0,August
2015-08-14,VoxWeb,Picture based Social App,,Mumbai,jitendra gupta & others,Seed Funding,0.825,2015.0,August
2015-08-14,Trukky,Logistics service platform,,Ahmedabad,"gujarat based angel investors, mmy co-founder",Seed Funding,2.02125,2015.0,August
2015-08-14,VanityCube,On-Demand Beauty Services,,New Delhi,group of angel investors,Seed Funding,0.0,2015.0,August
2015-08-17,Edu4Share,Exam Preparation Platform,,New Delhi,nalin jain & other angel investors,Seed Funding,1.815,2015.0,August
2015-08-17,YourStory,Startup Focused Online Publisher,,Mumbai,"ratan tata, vani kola, t v mohandas pai, karthee madasamay",Seed Funding,0.0,2015.0,August
2015-08-17,Sampurnearth,Waste Management Solutions,,Mumbai,"intellecap impact investment network, family office fund",Seed Funding,1.32,2015.0,August
2015-08-17,Orobind,App based Fitness coaching,,Bangalore,existing & new investors,Private Equity,0.0,2015.0,August
